iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
244	0.5031684916	0.8988289471	0.779494382
245	0.502573882	0.8988289471	0.779494382
246	0.5019739195	0.8988289471	0.779494382
247	0.5014977773	0.8988289471	0.779494382
248	0.5009512778	0.8988289471	0.779494382
249	0.5004022941	0.8988289471	0.779494382
250	0.4998467128	0.8988289471	0.779494382
251	0.4992748306	0.8988289471	0.779494382
252	0.4988143963	0.8988289471	0.779494382
253	0.4982881343	0.8988289471	0.779494382
254	0.4977137075	0.8988289471	0.779494382
255	0.4972019792	0.8988289471	0.779494382
256	0.4966002996	0.8988289471	0.779494382
257	0.4960632695	0.8988289471	0.779494382
258	0.4955626659	0.8988289471	0.779494382
259	0.4950392562	0.8988289471	0.779494382
260	0.4944489098	0.8988289471	0.779494382
261	0.4938757135	0.8988289471	0.779494382
262	0.4932956022	0.8988289471	0.779494382
263	0.4927443146	0.8988289471	0.779494382
264	0.4922423602	0.8988289471	0.779494382
265	0.4917238936	0.8988289471	0.779494382
266	0.4912396784	0.8988289471	0.779494382
267	0.4906716252	0.8988289471	0.779494382
268	0.490102157	0.8988289471	0.779494382
269	0.4895567782	0.8988289471	0.779494382
270	0.4890210168	0.8988289471	0.779494382
271	0.4884793482	0.8988289471	0.779494382
272	0.4879390318	0.8988289471	0.779494382
273	0.4874229801	0.8988289471	0.779494382
274	0.4869144631	0.8988289471	0.779494382
275	0.486490267	0.8988289471	0.779494382
276	0.4859678181	0.8988289471	0.779494382
277	0.4854129703	0.8988289471	0.779494382
278	0.4848919392	0.8988289471	0.779494382
279	0.4844357752	0.8988289471	0.779494382
280	0.4839404229	0.8988289471	0.779494382
281	0.4833925438	0.8988289471	0.779494382
282	0.4828558087	0.8988289471	0.779494382
283	0.4823336316	0.8988289471	0.779494382
284	0.4817903221	0.8988289471	0.779494382
285	0.4812817492	0.8988289471	0.779494382
286	0.4807744423	0.8988289471	0.779494382
287	0.4802425051	0.8988289471	0.779494382
288	0.4797401271	0.8988289471	0.779494382
289	0.4792111488	0.8988289471	0.779494382
290	0.4786873081	0.8988289471	0.779494382
291	0.478166894	0.8988289471	0.779494382
292	0.4776592204	0.8988289471	0.779494382
293	0.4771259186	0.8988289471	0.779494382
294	0.4766340043	0.8988289471	0.779494382
295	0.4761462283	0.8988289471	0.779494382
296	0.4756153713	0.8988289471	0.779494382
297	0.4751047014	0.8988289471	0.779494382
298	0.4745728062	0.8988289471	0.779494382
299	0.4741132845	0.8988289471	0.779494382
300	0.4736662666	0.8988289471	0.779494382
301	0.4731236332	0.8988289471	0.779494382
302	0.4726399091	0.8988289471	0.779494382
303	0.4721635277	0.8988289471	0.779494382
304	0.4716837254	0.8988289471	0.779494382
305	0.4712632964	0.8988289471	0.779494382
306	0.4708163888	0.8988289471	0.779494382
307	0.4703197476	0.8988289471	0.779494382
308	0.469785751	0.8988289471	0.779494382
309	0.4692641812	0.8988289471	0.779494382
310	0.4688109301	0.8988289471	0.779494382
